date,track,artist,streams,day_of_week,week_of_year
2018-12-27,Santa Tell Me,Ariana Grande,26841408,Thursday,52
2019-11-07,All I Want for Christmas Is You,Mariah Carey,5005576,Thursday,45
2019-11-14,All I Want for Christmas Is You,Mariah Carey,6570623,Thursday,46
2019-11-14,Last Christmas,Wham!,4795477,Thursday,46
2019-11-21,All I Want for Christmas Is You,Mariah Carey,8344450,Thursday,47
2019-11-21,Last Christmas,Wham!,6166454,Thursday,47
2019-11-21,Santa Tell Me,Ariana Grande,5121609,Thursday,47
2019-11-28,All I Want for Christmas Is You,Mariah Carey,12612693,Thursday,48
2019-11-28,It's Beginning to Look a Lot Like Christmas,Michael Bublé,6183295,Thursday,48
2019-11-28,Jingle Bell Rock,Bobby Helms,5558342,Thursday,48
2019-11-28,Last Christmas,Wham!,9167657,Thursday,48
2019-11-28,Rockin' Around the Christmas Tree,Brenda Lee,5588808,Thursday,48
2019-11-28,Santa Tell Me,Ariana Grande,7367685,Thursday,48
2019-12-05,All I Want for Christmas Is You,Mariah Carey,22394175,Thursday,49
2019-12-05,Feliz Navidad,José Feliciano,7517050,Thursday,49
2019-12-05,It's Beginning to Look a Lot Like Christmas,Michael Bublé,12258394,Thursday,49
2019-12-05,Jingle Bell Rock,Bobby Helms,10901943,Thursday,49
2019-12-05,Last Christmas,Wham!,17615075,Thursday,49
2019-12-05,Rockin' Around the Christmas Tree,Brenda Lee,11155568,Thursday,49
2019-12-05,Santa Tell Me,Ariana Grande,14107437,Thursday,49
2019-12-12,All I Want for Christmas Is You,Mariah Carey,24024043,Thursday,50
2019-12-12,Feliz Navidad,José Feliciano,8691550,Thursday,50
2019-12-12,It's Beginning to Look a Lot Like Christmas,Michael Bublé,13521227,Thursday,50
2019-12-12,Jingle Bell Rock,Bobby Helms,12457545,Thursday,50
2019-12-12,Last Christmas,Wham!,19402441,Thursday,50
2019-12-12,Rockin' Around the Christmas Tree,Brenda Lee,12756056,Thursday,50
2019-12-12,Santa Tell Me,Ariana Grande,15382577,Thursday,50
2019-12-19,All I Want for Christmas Is You,Mariah Carey,27155209,Thursday,51
2019-12-19,Feliz Navidad,José Feliciano,10286298,Thursday,51
2019-12-19,It's Beginning to Look a Lot Like Christmas,Michael Bublé,14847978,Thursday,51
2019-12-19,Jingle Bell Rock,Bobby Helms,14040340,Thursday,51
2019-12-19,Last Christmas,Wham!,21975011,Thursday,51
2019-12-19,Rockin' Around the Christmas Tree,Brenda Lee,14078309,Thursday,51
2019-12-19,Santa Tell Me,Ariana Grande,17011748,Thursday,51
2019-12-26,All I Want for Christmas Is You,Mariah Carey,45828931,Thursday,52
2019-12-26,Feliz Navidad,José Feliciano,20300178,Thursday,52
2019-12-26,It's Beginning to Look a Lot Like Christmas,Michael Bublé,25997383,Thursday,52
2019-12-26,Jingle Bell Rock,Bobby Helms,24951120,Thursday,52
2019-12-26,Last Christmas,Wham!,37725693,Thursday,52
2019-12-26,Rockin' Around the Christmas Tree,Brenda Lee,24401078,Thursday,52
2019-12-26,Santa Tell Me,Ariana Grande,27506141,Thursday,52
2020-01-02,All I Want for Christmas Is You,Mariah Carey,5241737,Thursday,1
2020-11-05,All I Want for Christmas Is You,Mariah Carey,5008815,Thursday,45
2020-11-12,All I Want for Christmas Is You,Mariah Carey,7130162,Thursday,46
2020-11-12,Last Christmas,Wham!,5385394,Thursday,46
